id,key,value,type
32816446,highway,unclassified,regular
32846266,name,Kombo Street,regular
32846266,highway,residential,regular
32866186,highway,footway,regular
32866186,surface,unpaved,regular
32866237,highway,residential,regular
32866296,highway,residential,regular
32866354,highway,residential,regular
32866354,source,Yahoo Images,regular
32866465,highway,unclassified,regular
32866465,surface,unpaved,regular
32891427,highway,unclassified,regular
32891427,created_by,Potlatch 0.10f,regular
32891526,highway,unclassified,regular
32891573,highway,unclassified,regular
32893528,highway,unclassified,regular
36072260,source,Yahoo,regular
36072260,highway,residential,regular
37424190,highway,residential,regular
37424190,source,msd.or.tz & deliver.jsi.com,regular
37424190,date,2014..2015,source
37424190,surface,unpaved,regular
37559442,electrified,no,regular
37559442,gauge,1067,regular
37559442,railway,rail,regular
37559442,service,yard,regular
37560890,gauge,1067,regular
37560890,railway,rail,regular
37560890,service,siding,regular
39167979,highway,residential,regular
42199381,building,yes,regular
42202564,office,government,regular
42202564,source,Yahoo,regular
42202564,building,utility,regular
42202564,street,Mirambo Street,addr
42202564,levels,2,building
42202564,material,cement_block,building
42203245,source,Yahoo,regular
42203245,building,yes,regular
42394278,source,Yahoo,regular
42394278,building,school,regular
42394278,street,Oysterbay,addr
42394278,levels,2,building
42394278,material,cement_block,building
45768976,building,commercial;residential,regular
45768976,street,Makunganyai Street,addr
45768976,levels,2,building
45768976,material,cement_block,building
45769011,building,commercial;residential,regular
45769011,street,Mkwepu Street,addr
45769011,levels,2,building
45769011,material,cement_block,building
45769807,name,NHC Building,regular
45769807,building,commercial;residential,regular
45769807,street,Jamuhuri Street,addr
45769807,levels,2,building
45769807,material,cement_block,building
46521100,source,yahoo,regular
46521100,building,yes,regular
46521128,source,yahoo,regular
46521128,building,yes,regular
46521148,source,yahoo,regular
46521148,building,yes,regular
46521173,highway,service,regular
46521173,service,parking_aisle,regular
47956345,natural,reef,regular
79097159,width,8,regular
79097159,highway,residential,regular
79097159,surface,asphalt,regular
79097159,smoothness,intermediate,regular
79097159,description,unpaved,regular
112727463,highway,residential,regular
112727463,source,Bing,regular
114817073,boundary,administrative,regular
125589111,highway,footway,regular
125742443,layer,1,regular
125742443,bridge,yes,regular
125742443,highway,footway,regular
125853243,building,residential,regular
125853243,street,Sokoni Street,addr
125853243,levels,1,building
125853243,material,cement_block,building
125853919,building,school,regular
125853919,street,Muhalitani Street,addr
125853919,levels,1,building
125853919,material,cement_block,building
126176403,highway,footway,regular
126176403,smoothness,bad,regular
126176403,surface,unpaved,regular
126176403,width,0.5,regular
126196503,highway,footway,regular
126201070,highway,footway,regular
126206696,building,residential,regular
126206696,street,Mtogole,addr
126206696,levels,1,building
126206696,housenumber,484,addr
126206696,material,cement_block,building
126339983,building,residential,regular
126339983,street,Sokoni Street,addr
126339983,levels,1,building
126339983,housenumber,178,addr
126339983,material,cement_block,building
126341059,building,residential,regular
126341059,street,Sokoni Street,addr
126341059,levels,1,building
126341059,housenumber,16,addr
126341059,material,cement_block,building
126349214,highway,footway,regular
126446155,building,commercial;residential,regular
126446155,street,Sokoni Street,addr
126446155,levels,1,building
126446155,housenumber,399,addr
126446155,material,cement_block,building
126446189,building,residential,regular
126446189,street,Sokoni Street,addr
126446189,levels,1,building
126446189,material,cement_block,building
126468030,highway,footway,regular
126468030,surface,unpaved,regular
126468030,smoothness,intermediate,regular
126490105,highway,footway,regular
126490166,highway,footway,regular
126598799,building,commercial,regular
126598799,levels,1,building
126598799,material,cement_block,building
126754416,highway,footway,regular
126754925,highway,footway,regular
126761462,building,school,regular
126761462,levels,1,building
126761462,material,cement_block,building
126761462,internet_access,wlan,regular
126761462,fee,yes,internet_access
126761462,smoking,no,regular
126761462,tourism,hostel,regular
126761462,wheelchair,no,regular
126762531,landuse,cemetery,regular
126763950,building,school,regular
126763950,levels,1,building
126763950,material,cement_block,building
126786744,source,Bing,regular
126786744,natural,wood,regular
127169933,highway,footway,regular
127299268,highway,footway,regular
127305901,width,1.2,regular
127305901,highway,footway,regular
127305901,surface,unpaved,regular
127305901,smoothness,intermediate,regular
127309461,highway,unclassified,regular
127311063,highway,footway,regular
127482245,highway,footway,regular
127482245,surface,unpaved,regular
127482245,smoothness,intermediate,regular
127482264,building,residential,regular
127482264,levels,1,building
127485432,highway,footway,regular
127538195,name,Mlandizi Road,regular
127538195,highway,tertiary,regular
127538195,surface,asphalt,regular
127570922,highway,footway,regular
128241262,source,Bing,regular
128241262,highway,residential,regular
128241262,surface,dirt,regular
128241286,source,Bing,regular
128241286,building,yes,regular
128241308,source,Bing,regular
128241308,building,yes,regular
128379045,building,yes,regular
128379063,building,yes,regular
128379083,building,yes,regular
131834000,street,Sokoni Street,addr
131834000,building,residential,regular
131834000,levels,1,building
